"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than high school graduate","Margin of Error!!Total!!Male!!Less than high school graduate","Estimate!!Total!!Male!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!Some college or associate's degree","Margin of Error!!Total!!Male!!Some college or associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than high school graduate","Margin of Error!!Total!!Female!!Less than high school graduate","Estimate!!Total!!Female!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!Some college or associate's degree","Margin of Error!!Total!!Female!!Some college or associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0100000US","United States","34334","85","18794","102","26699","65","32321","48","48309","199","64322","330","40514","55","21840","98","31730","72","40248","86","59459","455","80917","240","29132","93","14623","139","21682","71","27330","83","40645","96","54115","262"
